"Ghotuo","aaa"
"Banda-Bambari","liy"
"Libinza","liz"
"Rampi","lje"
"Laiyolo","lji"
"Li'o","ljl"
"Lampung Api","ljp"
"Lakalei","lka"
"Lukabaras","lkb"
"Kucong","lkc"
"Lakondê","lkd"
"Kenyi","lke"
"Lakha","lkh"
"Laki","lki"
"Remun","lkj"
"Laeko-Libuat","lkl"
"Lakon","lkn"
"Olukhayo","lko"
"Päri","lkr"
"Olushisa","lks"
"Lakota","lkt"
"Lokoya","lky"
"Lala-Roba","lla"
"Lolo","llb"
"Lele","llc"
"Ladin","lld"
"Lele","lle"
"Hermit","llf"
"Lole","llg"
"Lamu","llh"
"Teke-Laali","lli"
"Lelak","llk"
"Lilau","lll"
"Lasalimu","llm"
"Lele","lln"
"Khlor","llo","true"
"Efate, North","llp"
"Lolak","llq"
"Lithuanian Sign Language","lls"
"Lau","llu"
"Lauan","llx"
"Limba, East","lma"
"Merei","lmb"
"Limilngan","lmc"
"Lumun","lmd"
"Pévé","lme"
"Lembata, South","lmf"
"Lamogai","lmg"
"Lambichhong","lmh"
"Lombi","lmi"
"Lembata, West","lmj"
"Lamkang","lmk"
"Hano","lml"
"Lamam","lmm"
"Lambadi","lmn"
"Lombard","lmo"
"Limbum","lmp"
"Lamatuka","lmq"
"Lamalera","lmr"
"Lamenu","lmu"
"Lomaiviti","lmv"
"Miwok, Lake","lmw"
"Laimbue","lmx"
"Lamboya","lmy"
"Lumbee","lmz"
"Langbashe","lna"
"Mbalanhu","lnb"
"Lun Bawang","lnd"
"Lanoh","lnh"
"Daantanai'","lni"
"Leningitij","lnj"
"Banda, South Central","lnl"
"Langam","lnm"
"Lorediakarkar","lnn"
"Lango","lno"
"Lamnso'","lns"
"Longuda","lnu"
"Lonzo","lnz"
"Loloda","loa"
"Lobi","lob"
"Inonhan","loc"
"Saluan","loe"
"Logol","lof"
"Logo","log","true"
"Narim","loh"
"Loma","loi"
"Lou","loj"
"Loko","lok"
"Mongo-Nkundu","lol"
"Loma","lom"
"Lomwe, Malawi","lon"
"Lombo","loo"
"Lopa","lop"
"Lobala","loq"
"Téén","lor"
"Loniu","los"
"Otuho","lot"
"Louisiana Creole French","lou"
"Lopi","lov"
"Lobu, Tampias","low"
"Loun","lox"
"Lowa","loy"
"Lozi","loz"
"Lelepa","lpa"
"Lepki","lpe"
"Naga, Long Phuri","lpn"
"Lipo","lpo"
"Lopit","lpx"
"Bakati', Rara","lra"
"Luri, Northern","lrc"
"Laragia","lrg"
"Olumarachi","lri"
"Loarki","lrk"
"Lari","lrl"
"Olumarama","lrm"
"Lorang","lrn"
"Laro","lro"
"Lorung, Southern","lrr"
"Malay, Larantuka","lrt"
"Larevat","lrv"
"Lemerig","lrz"
"Lasgerdi","lsa"
"Lishana Deni","lsd"
"Lusengo","lse"
"Lyons Sign Language","lsg"
"Lish","lsh"
"Lashi","lsi"
"Latvian Sign Language","lsl"
"Saamia","lsm"
"Laos Sign Language","lso"
"Panamanian Sign Language","lsp"
"Aruop","lsr"
"Lasi","lss"
"Trinidad and Tobago Sign Language","lst"
"Mauritian Sign Language","lsy"
"Latgalian","ltg"
"Leti","lti"
"Latundê","ltn"
"Olutsotso","lto"
"Lutachoni","lts"
"Latu","ltu"
"Luxembourgeois","ltz"
"Luba-Kasai","lua"
"Luba-Katanga","lub"
"Aringa","luc"
"Ludian","lud"
"Luvale","lue","true"
"Laua","luf"
"Ganda","lug"
"Luiseño","lui"
"Luna","luj"
"Lunanakha","luk"
"Olu'bo","lul"
"Luimbi","lum"
"Lunda","lun"
"Dholuo","luo"
"Lumbu","lup"
"Lucumi","luq"
"Laura","lur"
"Mizo","lus"
"Lushootseed","lut"
"Lumba-Yakkha","luu"
"Luwati","luv"
"Luo","luw"
"Luri, Southern","luz"
"Makuv'a","lva"
"Lavukaleve","lvk"
"Latvian, Standard","lvs","true"
"Levuka","lvu"
"Lwalu","lwa"
"Lewo Eleng","lwe"
"Oluwanga","lwg"
"Lachi, White","lwh"
"Lawa, Eastern","lwl"
"Laomian","lwm"
"Luwo","lwo"
"Lewotobi","lwt"
"Lewo","lww"
"Layakha","lya"
"Lyngngam","lyg"
"Luyana","lyn"
"Litzlitz","lzl"
"Naga, Leinong","lzn"
"Laz","lzz"
"Mazatec, San Jerónimo Tecóatl","maa"
"Mixtec, Yutanduchi","mab"
"Madura","mad"
"Bo-Rukul","mae"
"Mafa","maf"
"Magahi","mag"
"Marshallese","mah"
"Maithili","mai"
"Mazatec, Jalapa de Díaz","maj"
"Makasar","mak"
"Malayalam","mal","true"
"Mam","mam"
"Mazatec, Chiquihuitlán","maq"
"Marathi","mar"
"Maasai","mas"
"Matlatzinca, San Francisco","mat"
"Mazatec, Huautla","mau"
"Sateré-Mawé","mav"
"Mampruli","maw"
"Malay, North Moluccan","max"
"Mazahua, Central","maz"
"Higaonon","mba"
"Manobo, Western Bukidnon","mbb"
"Macushi","mbc"
"Manobo, Dibabawon","mbd"
"Molale","mbe"
"Malay, Baba","mbf"
"Mangseng","mbh"
"Manobo, Ilianen","mbi"
"Nadëb","mbj"
"Malol","mbk"
"Maxakalí","mbl"
"Ombamba","mbm"
"Macaguán","mbn"
"Mbo","mbo"
"Malayo","mbp"
"Maisin","mbq"
"Nukak Makú","mbr"
"Manobo, Sarangani","mbs"
"Manobo, Matigsalug","mbt"
"Mbula-Bwazza","mbu"
"Mbulungish","mbv"
"Maring","mbw"
"Mari","mbx"
"Memoni","mby"
"Mixtec, Amoltepec","mbz"
"Maka","mca"
"Machiguenga","mcb"
"Bitur","mcc"
"Sharanahua","mcd"
"Mixtec, Itundujia","mce"
"Matsés","mcf"
"Mapoyo","mcg"
"Maquiritari","mch"
"Mesem","mci"
"Mvanip","mcj"
"Mbunda","mck"
"Macaguaje","mcl"
"Malaccan Creole Portuguese","mcm"
"Masana","mcn"
"Mixe, Coatlán","mco"
"Makaa","mcp"
"Ese","mcq"
"Menya","mcr"
"Mambai","mcs"
"Mengisa","mct"
"Mambila, Cameroon","mcu"
"Minanibai","mcv"
"Mawa","mcw"
"Mpiemo","mcx"
"Watut, South","mcy"
"Mawan","mcz"
"Mada","mda"
"Morigi","mdb"
"Male","mdc"
"Mbum","mdd"
"Maba","mde"
"Moksha","mdf"
"Massalat","mdg"
"Maguindanaon","mdh"
"Mamvu","mdi"
"Mangbetu","mdj"
"Mangbutu","mdk"
"Maltese Sign Language","mdl"
"Mayogo","mdm"
"Mbati","mdn"
"Mbala","mdp"
"Mbole","mdq"
"Mandar","mdr"
"Maria","mds"
"Mbere","mdt"
"Mboko","mdu"
"Mixtec, Santa Lucía Monteverde","mdv"
"Mbosi","mdw"
"Dizin","mdx"
"Male","mdy"
"Suruí do Pará","mdz"
"Menka","mea"
"Ikobi-Mena","meb"
"Mara","mec"
"Melpa","med"
"Mengen","mee"
"Megam","mef"
"Mea","meg"
"Mixtec, Southwestern Tlaxiaco","meh"
"Midob","mei"
"Meyah","mej"
"Mekeo","mek"
"Melanau, Central","mel"
"Mangala","mem"
"Mende","men"
"Malay, Kedah","meo"
"Miriwung","mep"
"Merey","meq"
"Kimîîru","mer"
"Masmaje","mes"
"Mato","met"
"Motu","meu"
"Mann","mev"
"Maaka","mew"
"Hassaniyya","mey","true"
"Menominee","mez"
"Malay, Pattani","mfa"
"Bangka","mfb"
"Mba","mfc"
"Mendankwe-Nkwen","mfd"
"Morisyen","mfe"
"Naki","mff"
"Mixifore","mfg"
"Matal","mfh"
"Wandala","mfi"
"Mefele","mfj"
"Mofu, North","mfk"
"Putai","mfl"
"Marghi South","mfm"
"Mbembe, Cross River","mfn"
"Mbe","mfo"
"Malay, Makassar","mfp"
"Moba","mfq"
"Marithiel","mfr"
"Mexican Sign Language","mfs"
"Mokerang","mft"
"Mbwela","mfu"
"Mandjak","mfv"
"Mulaha","mfw"
"Melo","mfx"
"Mayo","mfy"
"Mabaan","mfz"
"Mararit","mgb"
"Morokodo","mgc"
"Moru","mgd"
"Mango","mge"
"Maklew","mgf"
"Mpongmpong","mgg"
"Makhuwa-Meetto","mgh"
"Lijili","mgi"
"Abureni","mgj"
"Mawes","mgk"
"Maleu-Kilenge","mgl"
"Mambae","mgm"
"Mbangi","mgn"
"Meta'","mgo"
"Magar, Eastern","mgp"
"Malila","mgq"
"Mambwe-Lungu","mgr"
"Manda","mgs"
"Mongol","mgt"
"Mailu","mgu"
"Matengo","mgv"
"Matumbi","mgw"
"Omati","mgx"
"Mbunga","mgy"
"Mbugwe","mgz"
"Manda","mha"
"Mahongwe","mhb"
"Mocho","mhc"
"Mbugu","mhd"
"Mah Meri","mhe"
"Mamaa","mhf"
"Margu","mhg"
"Maskoy Pidgin","mhh"
"Ma'di","mhi"
"Mogholi","mhj"
"Mungaka","mhk"
"Mauwake","mhl"
"Makhuwa-Moniga","mhm"
"Mócheno","mhn"
"Mashi","mho"
"Malay, Balinese","mhp"
"Mandan","mhq"
"Mari, Meadow","mhr"
"Buru","mhs"
"Mandahuaca","mht"
"Digaro-Mishmi","mhu"
"Mbukushu","mhw"
"Lhao Vo","mhx"
"Ma'anyan","mhy"
"Mor","mhz"
"Miami","mia"
"Mixtec, Atatláhuca","mib"
"Micmac","mic"
"Mandaic","mid"
"Mixtec, Ocotepec","mie","true"
"Mofu-Gudur","mif"
"Mixtec, San Miguel el Grande","mig"
"Mixtec, Chayuco","mih"
"Mixtec, Chigmecatitlán","mii"
"Abar","mij"
"Mikasuki","mik"
"Mixtec, Peñoles","mil"
"Mixtec, Alacatlatzala","mim"
"Minangkabau","min"
"Mixtec, Pinotepa Nacional","mio"
"Mixtec, Apasco-Apoala","mip"
"Mískito","miq"
"Mixe, Isthmus","mir"
"Mixtec, Southern Puebla","mit"
"Mixtec, Cacaloxtepec","miu"
"Akoye","miw"
"Mixtec, Mixtepec","mix"
"Mixtec, Ayutla","miy"
"Mixtec, Coatzospan","miz"
"Mahei","mja"
"Mixtec, San Juan Colorado","mjc"
"Maidu, Northwest","mjd"
"Muskum","mje"
"Tu","mjg"
"Mwera","mjh"
"Kim Mun","mji"
"Mawak","mjj"
"Matukar","mjk"
"Mandeali","mjl"
"Medebur","mjm"
"Ma","mjn"
"Malankuravan","mjo"
"Malapandaram","mjp"
"Malaryan","mjq"
"Malavedan","mjr"
"Miship","mjs"
"Sauria Paharia","mjt"
"Manna-Dora","mju"
"Mannan","mjv"
"Karbi","mjw"
"Mahali","mjx"
"Majhi","mjz"
"Mbre","mka"
"Mal Paharia","mkb"
"Siliput","mkc"
"Macedonian","mkd"
"Mawchi","mke"
"Miya","mkf"
"Mak","mkg"
"Dhatki","mki"
"Mokilese","mkj"
"Byep","mkk"
"Mokole","mkl"
"Moklen","mkm"
"Malay, Kupang","mkn"
"Mingang Doso","mko"
"Moikodi","mkp"
"Malas","mkr"
"Mixtec, Silacayoapan","mks"
"Vamale","mkt"
"Maninka, Konyanka","mku"
"Mafea","mkv"
"Kituba","mkw"
"Manobo, Kinamiging","mkx"
"Makian, East","mky"
"Makasae","mkz"
"Malo","mla"
"Mbule","mlb"
"Cao Lan","mlc"
"Malakhel","mld"
"Manambu","mle"
"Mal","mlf"
"Mape","mlh"
"Malimpung","mli"
"Miltu","mlj"
"Kiwilwana","mlk"
"Malua Bay","mll"
"Mulam","mlm"
"Malango","mln"
"Mlomp","mlo"
"Bargam","mlp"
"Maninkakan, Western","mlq"
"Vame","mlr"
"Masalit","mls"
"Maltese","mlt"
"To'abaita","mlu"
"Mwotlap","mlv"
"Moloko","mlw"
"Naha'ai","mlx"
"Malaynon","mlz"
"Mama","mma"
"Momina","mmb"
"Mazahua, Michoacán","mmc"
"Maonan","mmd"
"Mae","mme"
"Mundat","mmf"
"Ambrym, North","mmg"
"Mehináku","mmh"
"Musar","mmi"
"Majhwar","mmj"
"Mukha-Dora","mmk"
"Man Met","mml"
"Maii","mmm"
"Mamanwa","mmn"
"Buang, Mangga","mmo"
"Siawi","mmp"
"Musak","mmq"
"Miao, Western Xiangxi","mmr"
"Malalamai","mmt"
"Mmaala","mmu"
"Miriti","mmv"
"Emae","mmw"
"Madak","mmx"
"Migaama","mmy"
"Mabaale","mmz"
"Mbula","mna"
"Muna","mnb"
"Manchu","mnc"
"Mondé","mnd"
"Naba","mne"
"Mundani","mnf"
"Mnong, Eastern","mng"
"Mono","mnh"
"Meitei","mni"
"Munji","mnj"
"Mandinka","mnk"
"Tiale","mnl"
"Mapena","mnm"
"Mnong, Southern","mnn"
"Chinese, Min Bei","mnp"
"Minriq","mnq"
"Mono","mnr"
"Mansi","mns"
"Maykulan","mnt"
"Mer","mnu"
"Rennell-Bellona","mnv"
"Mon","mnw"
"Manikion","mnx"
"Manyawa","mny"
"Moni","mnz"
"Mwan","moa"
"Mocoví","moc"
"Montagnais","moe"
"Mongondow","mog"
"Mohawk","moh"
"Mboi","moi"
"Monzombo","moj"
"Morori","mok"
"Mangue","mom"
"Monom","moo"
"Maya, Mopán","mop"
"Mor","moq"
"Moro","mor"
"Mòoré","mos"
"Barí","mot"
"Mogum","mou"
"Mohave","mov"
"Moi","mow"
"Molima","mox"
"Shekkacho","moy"
"Mukulu","moz"
"Mpoto","mpa"
"Mullukmulluk","mpb"
"Mangarayi","mpc"
"Machinere","mpd"
"Majang","mpe"
"Marba","mpg"
"Maung","mph"
"Mpade","mpi"
"Martu Wangka","mpj"
"Mbara","mpk"
"Watut, Middle","mpl"
"Mixtec, Yosondúa","mpm"
"Mindiri","mpn"
"Miu","mpo"
"Migabac","mpp"
"Matís","mpq"
"Vangunu","mpr"
"Dadibi","mps"
"Mian","mpt"
"Makuráp","mpu"
"Mungkip","mpv"
"Mapidian","mpw"
"Misima-Paneati","mpx"
"Mapia","mpy"
"Mpi","mpz"
"Maba","mqa"
"Mbuko","mqb"
"Mangole","mqc"
"Matepi","mqe"
"Momuna","mqf"
"Malay, Kota Bangun Kutai","mqg"
"Mixtec, Tlazoyaltepec","mqh"
"Mariri","mqi"
"Mamasa","mqj"
"Manobo, Rajah Kabunsuwan","mqk"
"Mbelime","mql"
"Marquesan, South","mqm"
"Moronene","mqn"
"Modole","mqo"
"Manipa","mqp"
"Minokok","mqq"
"Mander","mqr"
"Makian, West","mqs"
"Mok","mqt"
"Mandari","mqu"
"Mosimo","mqv"
"Murupi","mqw"
"Mamuju","mqx"
"Manggarai","mqy"
"Malasanga","mqz"
"Mlabri","mra"
"Marino","mrb"
"Maricopa","mrc"
"Magar, Western","mrd"
"Elseng","mrf"
"Miri","mrg"
"Chin, Mara","mrh"
"Maori","mri"
"Mari, Hill","mrj"
"Hmwaveke","mrk"
"Mortlockese","mrl"
"Mwerlap","mrm"
"Cheke Holo","mrn"
"Mru","mro"
"Morouas","mrp"
"Marquesan, North","mrq"
"Maria","mrr"
"Maragus","mrs"
"Marghi Central","mrt"
"Mono","mru"
"Mangareva","mrv"
"Maranao","mrw"
"Dineor","mrx"
"Mandaya","mry"
"Marind","mrz"
"Masbatenyo","msb"
"Maninka, Sankaran","msc"
"Yucatec Maya Sign Language","msd"
"Musey","mse"
"Mekwei","msf"
"Moraid","msg"
"Malagasy, Masikoro","msh"
"Malay, Sabah","msi"
"Ma","msj"
"Mansaka","msk"
"Molof","msl"
"Manobo, Agusan","msm"
"Vurës","msn"
"Mombum","mso"
"Maritsauá","msp"
"Caac","msq"
"Mongolian Sign Language","msr"
"Masela, West","mss"
"Musom","msu"
"Maslam","msv"
"Mansoanka","msw"
"Moresada","msx"
"Aruamu","msy"
"Momare","msz"
"Manobo, Cotabato","mta"
"Anyin Morofo","mtb"
"Munit","mtc"
"Mualang","mtd"
"Mono","mte"
"Murik","mtf"
"Una","mtg"
"Munggui","mth"
"Maiwa","mti"
"Moskona","mtj"
"Mbo'","mtk"
"Montol","mtl"
"Matagalpa","mtn"
"Mixe, Totontepec","mto"
"Wichí Lhamtés Nocten","mtp"
"Muong","mtq"
"Mewari","mtr"
"Yora","mts"
"Mota","mtt"
"Mixtec, Tututepec","mtu"
"Asaro'o","mtv"
"Bukidnon, Southern","mtw"
"Mixtec, Tidaá","mtx"
"Nabi","mty"
"Mundang","mua"
"Mubi","mub"
"Mbu'","muc"
"Aleut, Mednyj","mud"
"Media Lengua","mue"
"Musgu","mug"
"Mündü","muh"
"Musi","mui"
"Mabire","muj"
"Mugom","muk"
"Maiwala","mum"
"Nyong","muo"
"Malvi","mup"
"Miao, Eastern Xiangxi","muq"
"Murle","mur"
"Muskogee","mus"
"Muria, Western","mut"
"Yaaku","muu"
"Muthuvan","muv"
"Bo-Ung","mux"
"Muyang","muy"
"Mursi","muz"
"Manam","mva"
"Mattole","mvb"
"Mamboru","mvd"
"Marwari","mve"
"Mongolian, Peripheral","mvf"
"Mixtec, Yucuañe","mvg"
"Mire","mvh"
"Miyako","mvi"
"Mekmek","mvk"
"Mbara","mvl"
"Muya","mvm"
"Minaveha","mvn"
"Marovo","mvo"
"Duri","mvp"
"Moere","mvq"
"Marau","mvr"
"Massep","mvs"
"Mpotovoro","mvt"
"Marfa","mvu"
"Tagal Murut","mvv"
"Machinga","mvw"
"Meoswar","mvx"
"Kohistani, Indus","mvy"
"Mesqan","mvz"
"Mwatebu","mwa"
"Juwal","mwb"
"Are","mwc"
"Mudbura","mwd"
"Mwera","mwe"
"Murrinh-Patha","mwf"
"Aiklep","mwg"
"Mouk-Aria","mwh"
"Ninde","mwi"
"Maligo","mwj"
"Maninkakan, Kita","mwk"
"Mirandese","mwl"
"Sar","mwm"
"Nyamwanga","mwn"
"Maewo, Central","mwo"
"Kala Lagaw Ya","mwp"
"Chin, Mün","mwq"
"Mwimbi-Muthambi","mws"
"Moken","mwt"
"Mittu","mwu"
"Mentawai","mwv"
"Hmong Daw","mww"
"Mediak","mwx"
"Mosiro","mwy"
"Moingi","mwz"
"Mixtec, Northwest Oaxaca","mxa"
"Mixtec, Tezoatlán","mxb"
"Manyika","mxc"
"Modang","mxd"
"Mele-Fila","mxe"
"Malgbe","mxf"
"Mbangala","mxg"
"Mvuba","mxh"
"Miju-Mishmi","mxj"
"Monumbo","mxk"
"Gbe, Maxi","mxl"
"Meramera","mxm"
"Moi","mxn"
"Mbowe","mxo"
"Mixe, Tlahuitoltepec","mxp"
"Mixe, Juquila","mxq"
"Murik","mxr"
"Mixtec, Huitepec","mxs"
"Mixtec, Jamiltepec","mxt"
"Mada","mxu"
"Mixtec, Metlatónoc","mxv"
"Namo","mxw"
"Mahou","mxx"
"Mixtec, Southeastern Nochixtlán","mxy"
"Masela, Central","mxz"
"Burmese","mya"
"Mbay","myb"
"Mayeka","myc"
"Maramba","myd"
"Myene","mye"
"Bambassi","myf"
"Manta","myg"
"Makah","myh"
"Mina","myi"
"Mangayat","myj"
"Senoufo, Mamara","myk"
"Moma","myl"
"Me'en","mym"
"Anfillo","myo"
"Pirahã","myp"
"Maninka, Forest","myq"
"Muniche","myr"
"Mesmes","mys"
"Mundurukú","myu"
"Erzya","myv"
"Muyuw","myw"
"Masaaba","myx"
"Macuna","myy"
"Mandaic, Classical","myz"
"Mixtec, Santa María Zacatepec","mza"
"Tumzabt","mzb"
"Madagascar Sign Language","mzc"
"Malimba","mzd"
"Morawa","mze"
"Wichí Lhamtés Güisnay","mzh"
"Mazatec, Ixcatlán","mzi"
"Manya","mzj"
"Mambila, Nigeria","mzk"
"Mixe, Mazatlán","mzl"
"Mumuye","mzm"
"Mazanderani","mzn"
"Matipuhy","mzo"
"Movima","mzp"
"Mori Atas","mzq"
"Marúbo","mzr"
"Macanese","mzs"
"Mintil","mzt"
"Inapang","mzu"
"Manza","mzv"
"Deg","mzw"
"Mawayana","mzx"
"Mozambican Sign Language","mzy"
"Maiadomu","mzz"
"Namla","naa"
"Nambikuára, Southern","nab"
"Narak","nac"
"Nijadali","nad"
"Naka'ela","nae"
"Nabak","naf"
"Naga Pidgin","nag"
"Nalu","naj"
"Nakanai","nak"
"Nalik","nal"
"Nangikurrunggurr","nam"
"Chinese, Min Nan","nan","true"
"Naaba","nao"
"Napoletano-Calabrese","nap"
"Nama","naq"
"Iguta","nar"
"Naasioi","nas"
"Hungworo","nat"
"Nauruan","nau"
"Navajo","nav"
"Nawuri","naw"
"Nakwi","nax"
"Narrinyeri","nay"
"Nahuatl, Coatepec","naz"
"Nyemba","nba"
"Ndoe","nbb"
"Naga, Chang","nbc"
"Ngbinda","nbd"
"Naga, Konyak","nbe"
"Naxi","nbf"
"Nagarchal","nbg"
"Ngamo","nbh"
"Naga, Mao","nbi"
"Ngarinman","nbj"
"Nake","nbk"
"Ndebele","nbl"
"Ngbaka Ma'bo","nbm"
"Kuri","nbn"
"Nkukoli","nbo"
"Nnam","nbp"
"Nggem","nbq"
"Numana-Nunku-Gbantu-Numbu","nbr"
"Namibian Sign Language","nbs"
"Na","nbt"
"Naga, Rongmei","nbu"
"Ngamambo","nbv"
"Ngbandi, Southern","nbw"
"Ngura","nbx"
"Ningera","nby"
"Iyo","nca"
"Nicobarese, Central","ncb"
"Ponam","ncc"
"Nachering","ncd"
"Yale","nce"
"Notsi","ncf"
"Nisga'a","ncg"
"Nahuatl, Central Huasteca","nch"
"Nahuatl, Northern Puebla","ncj"
"Nakara","nck"
"Nahuatl, Michoacán","ncl"
"Nambo","ncm"
"Nauna","ncn"
"Sibe","nco"
"Ndaktup","ncp"
"Ncane","ncr"
"Nicaraguan Sign Language","ncs"
"Naga, Chothe","nct"
"Chumburung","ncu"
"Nahuatl, Central Puebla","ncx"
"Natchez","ncz"
"Ndasa","nda"
"Kenswei Nsei","ndb"
"Ndau","ndc"
"Nde-Nsele-Nta","ndd"
"Ndebele","nde"
"Ndengereko","ndg"
"Ndali","ndh"
"Samba Leko","ndi"
"Ndamba","ndj"
"Ndaka","ndk"
"Ndolo","ndl"
"Ndam","ndm"
"Ngundi","ndn"
"Ndonga","ndo"
"Ndo","ndp"
"Ndombe","ndq"
"Ndoola","ndr"
"Saxon, Low","nds","true"
"Ndunga","ndt"
"Dugun","ndu"
"Ndut","ndv"
"Ndobo","ndw"
"Nduga","ndx"
"Lutos","ndy"
"Ndogo","ndz"
"Ngad'a, Eastern","nea"
"Toura","neb"
"Nedebang","nec"
"Nde-Gbite","ned"
"Nêlêmwa-Nixumwak","nee"
"Nefamese","nef"
"Negidal","neg"
"Nyenkha","neh"
"Neko","nej"
"Neku","nek"
"Nemi","nem"
"Nengone","nen"
"Ná-Meo","neo"
"Nepali","nep"
"Mixe, North Central","neq"
"Yahadian","ner"
"Kinnauri, Bhoti","nes"
"Nete","net"
"Nyaheun","nev"
"Newar","new"
"Neme","nex"
"Neyo","ney"
"Nez Perce","nez"
"Dhao","nfa"
"Ahwai","nfd"
"Äiwoo","nfl"
"Nafaanra","nfr"
"Mfumte","nfu"
"Ngbaka","nga"
"Ngbandi, Northern","ngb"
"Ngombe","ngc"
"Ngando","ngd"
"Ngemba","nge"
"Ngbaka Manza","ngg"
"N|u","ngh"
"Ngizim","ngi","true"
"Ngie","ngj"
"Ngalkbun","ngk"
"Lomwe","ngl"
"Ngatik Men's Creole","ngm"
"Ngwo","ngn"
"Ngoni","ngo"
"Ngulu","ngp"
"Ngoreme","ngq"
"Nagu","ngr"
"Gvoko","ngs"
"Ngeq","ngt"
"Nahuatl, Guerrero","ngu"
"Nagumi","ngv"
"Ngwaba","ngw"
"Nggwahyi","ngx"
"Tibea","ngy"
"Ngungwel","ngz"
"Nhanda","nha"
"Beng","nhb"
"Nahuatl, Tabasco","nhc"
"Guaraní, Ava","nhd"
"Nahuatl, Eastern Huasteca","nhe"
"Nhuwala","nhf"
"Nahuatl, Tetelcingo","nhg"
"Nahari","nhh"
"Nahuatl, Zacatlán-Ahuacatlán-Tepetzintla","nhi"
"Nahuatl, Isthmus-Cosoleacaque","nhk"
"Nahuatl, Morelos","nhm"
"Nahuatl, Central","nhn"
"Takuu","nho"
"Nahuatl, Isthmus-Pajapan","nhp"
"Nahuatl, Huaxcaleca","nhq"
"Naro","nhr"
"Nahuatl, Ometepec","nht"
"Noone","nhu"
"Nahuatl, Temascaltepec","nhv"
"Nahuatl, Western Huasteca","nhw"
"Nahuatl, Isthmus-Mecayapan","nhx"
"Nahuatl, Northern Oaxaca","nhy"
"Nahuatl, Santa María la Alta","nhz"
"Nias","nia"
"Nakama","nib"
"Ngandi","nid"
"Niellim","nie"
"Nek","nif"
"Ngalakan","nig"
"Nyiha, Tanzania","nih"
"Nii","nii"
"Ngaju","nij"
"Nicobarese, Southern","nik"
"Nila","nil"
"Nilamba","nim"
"Ninzo","nin"
"Nganasan","nio"
"Nandi","niq"
"Nimboran","nir"
"Nimi","nis"
"Kolami, Southeastern","nit"
"Niue","niu"
"Gilyak","niv"
"Nimo","niw"
"Hema","nix"
"Ngiti","niy"
"Ningil","niz"
"Nzanyi","nja"
"Naga, Nocte","njb"
"Ndonde Hamba","njd"
"Naga, Lotha","njh"
"Gudanji","nji"
"Njen","njj"
"Njalgulgule","njl"
"Naga, Angami","njm"
"Naga, Liangmai","njn"
"Naga, Ao","njo","true"
"Njerep","njr"
"Nisa","njs"
"Ndyuka-Trio Pidgin","njt"
"Ngadjunmaya","nju"
"Kunyi","njx"
"Njyem","njy"
"Nkoya","nka"
"Naga, Khoibu","nkb"
"Nkongho","nkc"
"Koireng","nkd"
"Duke","nke"
"Naga, Inpui","nkf"
"Nekgini","nkg"
"Naga, Khezha","nkh"
"Naga, Thangal","nki"
"Nakai","nkj"
"Nokuku","nkk"
"Namat","nkm"
"Nkangala","nkn"
"Nkonya","nko"
"Nkami","nkq"
"Nukuoro","nkr"
"Asmat, North","nks"
"Nyika, Tanzania","nkt"
"Kulango, Bouna","nku"
"Nyika","nkv"
"Nkutu","nkw"
"Nkoroo","nkx"
"Nkari","nkz"
"Ngombale","nla"
"Nalca","nlc"
"Dutch","nld","true"
"Nyala","nle"
"Gela","nlg"
"Grangali","nli"
"Nyali","nlj"
"Yali, Ninia","nlk"
"Nihali","nll"
"Nahuatl, Durango","nln"
"Ngul","nlo"
"Ngarla","nlr"
"Nchumbulu","nlu"
"Nahuatl, Orizaba","nlv"
"Nahali","nlx"
"Nyamal","nly"
"Nalögo","nlz"
"Naga, Maram","nma"
"V'ënen Taut","nmb"
"Ngam","nmc"
"Ndumu","nmd"
"Naga, Mzieme","nme"
"Naga, Tangkhul","nmf"
"Kwasio","nmg"
"Naga, Monsang","nmh"
"Nyam","nmi"
"Ngombe","nmj"
"Namakura","nmk"
"Ndemli","nml"
"Manangba","nmm"
"!Xóõ","nmn"
"Naga, Moyon","nmo"
"Nimanbur","nmp"
"Nambya","nmq"
"Nimbari","nmr"
"Letemboi","nms"
"Namonuito","nmt"
"Maidu, Northeast","nmu"
"Ngamini","nmv"
"Nimoa","nmw"
"Nama","nmx"
"Namuyi","nmy"
"Nawdm","nmz"
"Nyangumarta","nna"
"Nande","nnb"
"Nancere","nnc"
"Ambae, West","nnd"
"Ngandyera","nne"
"Ngaing","nnf"
"Naga, Maring","nng"
"Ngiemboon","nnh"
"Nuaulu, North","nni"
"Nyangatom","nnj"
"Nankina","nnk"
"Naga, Northern Rengma","nnl"
"Namia","nnm"
"Ngete","nnn"
"Naga, Wancho","nnp"
"Ngindo","nnq"
"Ningye","nns"
"Nanticoke","nnt"
"Dwang","nnu"
"Nugunu","nnv"
"Nuni, Southern","nnw"
"Ngong","nnx"
"Nyangga","nny"
"Nda'nda'","nnz"
"Woun Meu","noa"
"Nuk","noc"
"Thai, Northern","nod"
"Nimadi","noe"
"Nomane","nof"
"Nogai","nog"
"Nomu","noh"
"Noiri","noi"
"Nonuya","noj"
"Nooksack","nok"
"Nootka","noo"
"Numanggang","nop"
"Ngongo","noq"
"Norwegian","nor"
"Nisu, Eastern","nos"
"Nomatsiguenga","not"
"Ewage-Notu","nou"
